"@title","English"
"#00295","Radio drama series deal! Downloads should go up a bit!"
"#00296","Manga adaptation confirmed! Downloads should go up a bit!"
"#00297","Toy franchise confirmed! Downloads should go up a bit!"
"#00298","Figure franchise confirmed! Downloads should go up a bit!"
"#00299","TV series deal! Downloads should go up a bit!"
"#00300","Anime adaptation confirmed! Downloads should go up a bit!"
"#00301","Live action adaptation confirmed! Downloads should go up a bit!"
"#00302","Blockbuster movie adaptation confirmed! Downloads should go up a bit!"
"#00303","Business as usual..."
"#00304","It didn't catch on. We'll see a drop in downloads..."
"#00305","A similar product got released. We'll see a drop in downloads..."
"#00306","The game's buggy. We'll see a drop in downloads..."
"#00307","Critical bugs have been found in the game. We'll see a huge drop in downloads..."
"#00308","We're getting support from the gaming platform. Our downloads should skyrocket!"
"#00309","Woohoo! We won the Indie Games Award!"
"#00310","Woohoo! We won the Card Games Award!"
"#00311","Woohoo! We won the Arcade<br>Games Award!"
"#00312","Woohoo! We won the Escape<br>Games Award!"
"#00313","Woohoo! We won the Kids Games Award!"
"#00314","Woohoo! We won the Party Games Award!"
"#00315","Woohoo! We won the Newbie<br>Games Award!"
"#00316","Woohoo! We won the Visual Novels Award!"
"#00317","Woohoo! We won the Quiz Games Award!"
"#00318","Woohoo! We won the Fitness<br>Games Award!"
"#00319","Woohoo! We won the Tabletop Games Award!"
"#00320","Woohoo! We won the Rhythm<br>Games Award!"
"#00321","Woohoo! We won the One Button Games Award!"
"#00322","Woohoo! We won the Good Games Award!"
"#00323","Woohoo! We won the Shooting Games Award!"
"#00324","Woohoo! We won the Management Sim Games Award!"
"#00325","Woohoo! We won the Dating Sim Games Award!"
"#00326","Woohoo! We won the Typing Games Award!"
"#00327","Woohoo! We won the RPG Award!"
"#00328","Woohoo! We won the Action-Adventure Games Award!"
"#00329","Woohoo! We won the Vehicle Sim Games Award!"
"#00330","Woohoo! We won the Life Sim Games Award!"
"#00331","Woohoo! We won the Strategy Games Award!"
"#00332","Woohoo! We won the Sandbox Games Award!"
"#00333","Woohoo! We won the National Games Grand Prix!"
"#00334","Woohoo! We won the Worldwide Games Award!"
"#00335","Woohoo! We won the Kairo Games Award!"
"#00336","We're finally #1 in the <0> genre!"
"#00337","You got the <0> special command x<1>!"
"#00338","Received <0> Meeting Points!"
"#00339","+<0> pts bonus for higher ranking!"
"#00340","It seems players thought this game was just another boring rehash."
"#00341","The game wasn't original enough and failed to resonate with users."
"#00342","The dev studio event got everyone hyped."
"#00343","Candy"
"#00344","Snack"
"#00345","Comfort Food"
"#00346","Fruit"
"#00347","Gourmet Food"
"#00348","Meat"
"#00349","Reading"
"#00350","Toy Models"
"#00351","Games"
"#00352","Comedy"
"#00353","Cooking"
"#00354","Fishing"
"#00355","Surfing"
"#00356","Bodybuilding"
"#00357","DIY"
"#00358","Naps"
"#00359","Driving"
"#00360","Blogging"
"#00361","Movie Reviews"
"#00362","Sports"
"#00363","Music"
"#00364","Huge World"
"#00365","Door"
"#00366","Desk"
"#00367","Wooden Desk"
"#00368","Orange Crate"
"#00369","Graphics Workstation"
"#00370","Sound Workstation"
"#00371","Business Workstation"
"#00372","4-Screen Workstation"
"#00373","Food Desk"
"#00374","Mushroom Desk"
"#00375","Electronic Desk"
"#00376","Trash Can"
"#00377","Umbrella Stand"
"#00378","Hangers"
"#00379","Shoe Cupboard"
"#00380","Bookshelf"
"#00381","Locker Unit"
"#00382","Refrigerator"
"#00383","Model Toy"
"#00384","Jar"
"#00385","Safe"
"#00386","Barrel"
"#00387","Treasure Chest"
"#00388","Eerie Chasm"
"#00389","Legendary Sword"
"#00390","Old Printer"
"#00391","Stereo Set"
"#00392","Telephone"
"#00393","Digital Piano"
"#00394","Microphone"
"#00395","Microwave"
"#00396","Game Console"
"#00397","Multi Printer"
"#00398","Treadmill"
"#00399","Shredder"
"#00400","Capsule Toys"
"#00401","Pinball"
"#00402","Air Purifier"
"#00403","Rice Cooker"
"#00404","Claw Crane"
"#00405","Arcade Game"
"#00406","RC Plane"
"#00407","Telescope"
"#00408","Arcade Machine"
"#00409","Analog TV"
"#00410","Retro Arcade"
"#00411","Charcoal Brazier"
"#00412","Arcade Dart Board"
"#00413","Soap Bubble Maker"
"#00414","Goldfish Scooping"
"#00415","Ticket Machine"
"#00416","Rocket"
"#00417","=#00416"
"#00418","Comms Tower"
"#00419","Kairobot"
"#00420","Calendar"
"#00421","Water Cooler"
"#00422","Stuffed Toy"
"#00423","Whiteboard"
"#00424","Fan"
"#00425","Potted Plant"
"#00426","Vending Machine"
"#00427","Drawing Workstation"
"#00428","Marimo Tank"
"#00429","Couch"
"#00430","Hot Water"
"#00431","Grandfather Clock"
"#00432","Globe"
"#00433","Gymball"
"#00434","Water Tank"
"#00435","Drums"
"#00436","Fire Extinguisher"
"#00437","Roses"
"#00438","Bonsai Plum Tree"
"#00439","Bonsai Maple"
"#00440","Bonsai Cherry Tree"
"#00441","Bonsai Pine"
"#00442","Mushroom"
"#00443","Talking Bird"
"#00444","Anime Figurine"
"#00445","Lucky Cat"
"#00446","Decorative Armor"
"#00447","Knight's Armor"
"#00448","Inflatable Pool"
"#00449","Noodle Flume"
"#00450","Balloon Seller"
"#00451","Big Mushroom"
"#00452","Whitebait Fishing"
"#00453","Volcano"
"#00454","Building Diorama"
"#00455","Nap Room"
"#00456","Server Room"
"#00457","Recording Studio"
"#00458","Meeting Room"
"#00459","Cafe Area"
"#00460","Fun Farmyard"
"#00461","Fountain Statue"
"#00462","Beautiful Aquarium"
"#00463","Japanese Garden"
"#00464","Supercomputer"
"#00465","Theme Park"
"#00466","Sally Prin's Room"
"#00467","Assign to a part timer."
"#00468","Hire booth babe."
"#00469","Hire booth babes."
"#00470","Start with mid-scale budget"
"#00471","Hire singers and go all out."
"#00472","Invite TV crew and go all out."
"#00473","Start with extravagant budget."
"#00474","PC"
"#00475","Mobile"
"#00476","Smartphone"
"#00477","All Platforms"
"#00478","CEO"
"#00479","Inspires everyone to recover HP!"
"#00480","Wairobot"
"#00481","Opponent's HP increase!"
"#00482","=#00419"
"#00483","Craze UP!"
"#00484","Sally Prin"
"#00485","Aura triggered!"
"#00486","Chimpan Z"
"#00487","Temporarily overcoming weaknesses!"
"#00488","Kumax"
"#00489","Bugs -50%!"
"#00490","Ackbar"
"#00491","Playability UP!"
"#00492","Laurel"
"#00493","Reviving all passed out employees!"
"#00494","Kairo-man"
"#00495","Collecting treasure chests!"
"#00496","Kappa"
"#00497","Money treasure chest appears!"
"#00498","Kairodrill"
"#00499","Deals 3000 damage!"
"#00500","Princess Ham"
"#00501","Impact UP!"
"#00502","Zoomer"
"#00503","Deals 500 damage!"
"#00504","Panda Berr"
"#00505","Retention UP!"
"#00506","Pumpkin"
"#00507","Bugs -90%!"
"#00508","Metabok"
"#00509","Temporary damage reduction!"
"#00510","Mochipork"
"#00511","Deals 1250 damage!"
"#00512","Peachie Gal"
"#00513","Social UP!"
"#00514","Mini Kairobot"
"#00515","Item treasure chest appears!"
"#00516","What kind of food do I like?"
"#00517","BBQ<br>Cabbage<br>Chicken wings<br>It's a secret!"
"#00518","Favorite Food"
"#00519","What do I like to do in my spare time?"
"#00520","Music<br>Skiing<br>Nothing<br>It's a secret!"
"#00521","Hobbies"
"#00522","What's my occupation?"
"#00523","Civil servant<br>Game dev<br>Student<br>It's a secret!"
"#00524","Occupation"
"#00525","Where am I from?"
"#00526","Highrise City<br>Hipsterdale<br>Old Newtown<br>It's a secret!"
"#00527","Hometown"
"#00528","What was my childhood dream?"
"#00529","World trip<br>Buying own house<br>Becoming a celeb'<br>It's a secret!"
"#00530","Childhood Dream"
"#00531","What do I do most days?"
"#00532","Bonsai<br>Game development<br>Dancing<br>It's a secret!"
"#00533","Daily Routine"
"#00534","What game genre do I like the most?"
"#00535","Action<br>RPG<br>Social<br>It's a secret!"
"#00536","Favorite Game Genre"
"#00537","What would be my most cherished treasure?"
"#00538","Four-leaf clover<br>Celeb's autograph<br>Friends<br>It's a secret!"
"#00539","Cherished Treasure"
"#00540","How big is my family?"
"#00541","16 members<br>Family of four<br>Just the two!<br>It's a secret!"
"#00542","Family"
"#00543","Uhm... Do I have a significant other?"
"#00544","Yes<br>Married<br>No<br>It's a secret!"
"#00545","Significant Other"
"#00546","Do I have any friends?"
"#00547","Lots<br>A few<br>Just the one<br>It's a secret!"
"#00548","Friends"
"#00549","Do I keep any pets?"
"#00550","A cat<br>A dog<br>A turtle<br>It's a secret!"
"#00551","Pets"
"#00552","What am I really into?"
"#00553","Cars<br>Singing<br>Poetry<br>It's a secret!"
"#00554"," is what I like."
"#00555","Interests"
"#00556","Is there anything else I like?"
"#00559","What am I most thankful for in your life?"
"#00560","Being born<br>Being victorious<br>Making games<br>It's a secret!"
"#00561"," is what I am most thankful for."
"#00562","What I Appreciate"
"#00563","What am I happy about in my life?"
"#00564","Being popular<br>Being hard-working<br>Having an easy life<br>It's a secret!"
"#00565","Have I won any awards?"
"#00566","National Medal of Honor<br>World Peace Prize<br>Buzzword Award<br>It's a secret!"
"#00567"," was awarded to me."
"#00568","Awards"
"#00569","Have I won anything else?"
"#00570","Local Art Contest<br>A consolation prize<br>Manga Contest<br>It's a secret!"
"#00571","Is there anything I've been trying to learn?"
"#00572","Academic stuff<br>Swimming<br>Kendo<br>It's a secret!"
"#00573"," has tested my learning ability."
"#00574","Learning"
"#00575","Anything else I've been learning?"
"#00576","Languages<br>Football<br>Ballet<br>It's a secret!"
"#00577","Where do I live?"
"#00578","Racingriver City<br>Mountainview Village<br>Seashore Town<br>It's a secret!"
"#00579"," is where I live now."
"#00580","Domicile"
"#00581","Have I ever suffered an injury?"
"#00582","Cracked my head<br>Hurt my butt<br>Hurt my chin<br>It's a secret!"
"#00583"," in the past."
"#00584","Injuries"
"#00585","Any other injuries?"
"#00588","Where do I like to hang out?"
"#00589","At a beach<br>In a park<br>By the train station<br>It's a secret!"
"#00590"," is where I like to hang out."
"#00591","Hanging Out"
"#00592","Any other places I like to go to?"
"#00595","Has anything bad happened to me recently?"
"#00596","Fell on the stairs<br>Dropped my phone<br>Broke a nail<br>It's a secret!"
"#00597","Unlucky Events"
"#00598","Any other unfortunate events?"
"#00601","Anything I put a lot of effort into?"
"#00602","Studying<br>Long-distance swimming<br>Personal grooming<br>It's a secret!"
"#00603"," is what I really put a lot of effort into."
"#00604","Endeavors"
"#00605","Anything else I put my heart into?"
"#00608","Is there anything I'm really passionate about?"
"#00609","Manga<br>Aromatherapy<br>Anime characters<br>It's a secret!"
"#00610"," is my guilty secret."
"#00611","Passions"
"#00612","Anything else I'm passionate about?"
"#00613","Travel<br>Cats<br>Games<br>It's a secret!"
"#00614","What school did I apply for?"
"#00615","Local junior high school<br>Prestigious high school<br>Public university<br>It's a secret!"
"#00616"," is what I applied for."
"#00617","Schools Applied For"
"#00618","Did I enroll at any other school?"
"#00621","Anything I've been doing for a long time?"
"#00622","Writing a diary<br>Dancing<br>Mimicry<br>It's a secret!"
"#00623"," is a long term hobby of mine."
"#00624","Long-Time Hobbies"
"#00625","Do I have any cavities?"
"#00626","Lots<br>Some<br>All my teeth are bad<br>It's a secret!"
"#00627","Cavities"
"#00628","Just how bad are my cavities?"
"#00629","Disastrous<br>Serious<br>No laughing matter<br>It's a secret!"
"#00630","What snacks or candy do I like?"
"#00631","Cakes<br>Chips<br>Whipped Cream<br>It's a secret!"
"#00632","Snacks or Candy"
"#00633","Who do I look up to?"
"#00634","A famous entrepreneur<br>A renowned novelist<br>An esteemed inventor<br>It's a secret!"
"#00635"," is the kind of person I idolize."
"#00636","Idol"
"#00637","Anyone else I admire?"
"#00638","The president<br>A war hero<br>A social justice warrior<br>It's a secret!"
"#00639","Have I won any contests?"
"#00640","School club contest<br>Piano concours<br>Company cosplay contest<br>It's a secret!"
"#00641"," is among my many victories."
"#00642","Contest Victories"
"#00643","Did I win anything else?"
"#00646","Have I won any medals?"
"#00647","For painting<br>For club activities<br>For binge-eating candy<br>It's a secret!"
"#00648"," I was awarded a medal."
"#00649","Medals"
"#00650","Anything else I won a medal for?"
"#00651","Online shopping<br>Swimming<br>Gaming<br>It's a secret!"
"#00652","What do I like studying?"
"#00653","Arithmetic<br>Geography<br>Management<br>It's a secret!"
"#00654","My favorite subject is"
"#00655","Favorite Subjects"
"#00656","Where have I worked before?"
"#00657","Bakery<br>Post Office<br>Convenience store<br>It's a secret!"
"#00658"," is one place that I've worked in previously."
"#00659","Work History"
"#00660","Have I worked as anything else?"
"#00661","Crossing guard<br>Receptionist<br>Shelf-filler<br>It's a secret!"
"#00662","When did I move out of my parents' house?"
"#00663","Over a decade ago<br>Five years ago<br>Quite recently<br>It's a secret!"
"#00664","I've lived alone since"
"#00665","Living Alone"
"#00666","What am I really proud of?"
"#00667","My flexibility<br>My memory<br>My family<br>It's a secret!"
"#00668"," is what I'm most proud of."
"#00669","Proud Of"
"#00670","Anything else I'm proud of?"
"#00673","Where did I go on vacation?"
"#00674","Local beach<br>Tropical Island<br>Glaciers<br>It's a secret!"
"#00675"," made for a great destination."
"#00676","Vacation Destinations"
"#00677","Where else did I go on vacation?"
"#00680","Have I ever been abroad?"
"#00681","Been to Chile<br>Been to India<br>Been to France<br>It's a secret!"
"#00682",", and I'd go again."
"#00683","Travel Abroad"
"#00684","Any other countries I visited?"
"#00687","What's my favorite anime theme?"
